,Time,Images
0,"00:00:00,100 --> 00:00:00,200
","DJI_0010.JPG, DJI_0011.JPG, DJI_0012.JPG, DJI_0013.JPG, "
1,"00:00:00,200 --> 00:00:00,300
","DJI_0047.JPG, DJI_0010.JPG, DJI_0049.JPG, DJI_0046.JPG, DJI_0011.JPG, DJI_0012.JPG, DJI_0048.JPG, "
2,"00:00:00,300 --> 00:00:00,400
","DJI_0047.JPG, DJI_0010.JPG, DJI_0049.JPG, DJI_0055.JPG, DJI_0046.JPG, DJI_0011.JPG, DJI_0012.JPG, DJI_0048.JPG, DJI_0056.JPG, "
3,"00:00:00,400 --> 00:00:00,500
","DJI_0047.JPG, DJI_0057.JPG, DJI_0049.JPG, DJI_0055.JPG, DJI_0046.JPG, DJI_0011.JPG, DJI_0048.JPG, DJI_0056.JPG, "
4,"00:00:00,500 --> 00:00:00,600
","DJI_0047.JPG, DJI_0057.JPG, DJI_0049.JPG, DJI_0055.JPG, DJI_0046.JPG, DJI_0048.JPG, DJI_0056.JPG, "
5,"00:00:00,600 --> 00:00:00,700
","DJI_0047.JPG, DJI_0057.JPG, DJI_0049.JPG, DJI_0055.JPG, DJI_0046.JPG, DJI_0048.JPG, DJI_0056.JPG, "
6,"00:00:00,700 --> 00:00:00,800
","DJI_0047.JPG, DJI_0057.JPG, DJI_0049.JPG, DJI_0055.JPG, DJI_0046.JPG, DJI_0048.JPG, DJI_0056.JPG, "
7,"00:00:00,800 --> 00:00:00,900
","DJI_0047.JPG, DJI_0057.JPG, DJI_0049.JPG, DJI_0055.JPG, DJI_0046.JPG, DJI_0048.JPG, DJI_0056.JPG, "
8,"00:00:00,900 --> 00:00:01,000
","DJI_0047.JPG, DJI_0095.JPG, DJI_0057.JPG, DJI_0055.JPG, DJI_0046.JPG, DJI_0048.JPG, DJI_0056.JPG, "
9,"00:00:01,000 --> 00:00:01,100
","DJI_0047.JPG, DJI_0095.JPG, DJI_0096.JPG, DJI_0057.JPG, DJI_0055.JPG, DJI_0048.JPG, DJI_0056.JPG, "
10,"00:00:01,100 --> 00:00:01,200
","DJI_0047.JPG, DJI_0095.JPG, DJI_0096.JPG, DJI_0057.JPG, DJI_0055.JPG, DJI_0056.JPG, DJI_0094.JPG, "
11,"00:00:01,200 --> 00:00:01,300
","DJI_0095.JPG, DJI_0096.JPG, DJI_0057.JPG, DJI_0055.JPG, DJI_0097.JPG, DJI_0056.JPG, DJI_0094.JPG, "
12,"00:00:01,300 --> 00:00:01,400
","DJI_0095.JPG, DJI_0096.JPG, DJI_0057.JPG, DJI_0055.JPG, DJI_0097.JPG, DJI_0056.JPG, DJI_0094.JPG, "
13,"00:00:01,400 --> 00:00:01,500
","DJI_0095.JPG, DJI_0096.JPG, DJI_0057.JPG, DJI_0055.JPG, DJI_0097.JPG, DJI_0056.JPG, DJI_0094.JPG, "
14,"00:00:01,500 --> 00:00:01,600
","DJI_0095.JPG, DJI_0096.JPG, DJI_0057.JPG, DJI_0055.JPG, DJI_0097.JPG, DJI_0056.JPG, DJI_0094.JPG, "
15,"00:00:01,600 --> 00:00:01,700
","DJI_0095.JPG, DJI_0096.JPG, DJI_0057.JPG, DJI_0055.JPG, DJI_0097.JPG, DJI_0056.JPG, DJI_0094.JPG, "
16,"00:00:01,700 --> 00:00:01,800
","DJI_0095.JPG, DJI_0096.JPG, DJI_0057.JPG, DJI_0055.JPG, DJI_0097.JPG, DJI_0056.JPG, DJI_0094.JPG, "
17,"00:00:01,800 --> 00:00:01,900
","DJI_0095.JPG, DJI_0096.JPG, DJI_0057.JPG, DJI_0055.JPG, DJI_0097.JPG, DJI_0093.JPG, DJI_0056.JPG, DJI_0107.JPG, DJI_0094.JPG, DJI_0106.JPG, "
18,"00:00:01,900 --> 00:00:02,000
","DJI_0095.JPG, DJI_0096.JPG, DJI_0057.JPG, DJI_0093.JPG, DJI_0056.JPG, DJI_0107.JPG, DJI_0094.JPG, DJI_0106.JPG, "
19,"00:00:02,000 --> 00:00:02,100
","DJI_0095.JPG, DJI_0108.JPG, DJI_0096.JPG, DJI_0093.JPG, DJI_0107.JPG, DJI_0094.JPG, DJI_0106.JPG, "
20,"00:00:02,100 --> 00:00:02,200
","DJI_0095.JPG, DJI_0108.JPG, DJI_0096.JPG, DJI_0093.JPG, DJI_0107.JPG, DJI_0094.JPG, DJI_0106.JPG, "
21,"00:00:02,200 --> 00:00:02,300
","DJI_0095.JPG, DJI_0108.JPG, DJI_0096.JPG, DJI_0093.JPG, DJI_0107.JPG, DJI_0094.JPG, DJI_0106.JPG, "
22,"00:00:02,300 --> 00:00:02,400
","DJI_0109.JPG, DJI_0095.JPG, DJI_0108.JPG, DJI_0093.JPG, DJI_0107.JPG, DJI_0094.JPG, DJI_0106.JPG, "
23,"00:00:02,400 --> 00:00:02,500
","DJI_0109.JPG, DJI_0095.JPG, DJI_0108.JPG, DJI_0093.JPG, DJI_0107.JPG, DJI_0094.JPG, DJI_0106.JPG, "
24,"00:00:02,500 --> 00:00:02,600
","DJI_0109.JPG, DJI_0095.JPG, DJI_0108.JPG, DJI_0147.JPG, DJI_0146.JPG, DJI_0093.JPG, DJI_0107.JPG, DJI_0094.JPG, DJI_0106.JPG, "
25,"00:00:02,600 --> 00:00:02,700
","DJI_0109.JPG, DJI_0108.JPG, DJI_0147.JPG, DJI_0146.JPG, DJI_0093.JPG, DJI_0107.JPG, DJI_0094.JPG, DJI_0106.JPG, "
26,"00:00:02,700 --> 00:00:02,800
","DJI_0109.JPG, DJI_0145.JPG, DJI_0108.JPG, DJI_0110.JPG, DJI_0147.JPG, DJI_0146.JPG, DJI_0093.JPG, DJI_0107.JPG, DJI_0094.JPG, DJI_0106.JPG, "
27,"00:00:02,800 --> 00:00:02,900
","DJI_0109.JPG, DJI_0145.JPG, DJI_0108.JPG, DJI_0110.JPG, DJI_0147.JPG, DJI_0146.JPG, DJI_0107.JPG, DJI_0106.JPG, "
28,"00:00:02,900 --> 00:00:03,000
","DJI_0109.JPG, DJI_0145.JPG, DJI_0108.JPG, DJI_0110.JPG, DJI_0147.JPG, DJI_0146.JPG, DJI_0107.JPG, "
29,"00:00:03,000 --> 00:00:03,100
","DJI_0109.JPG, DJI_0145.JPG, DJI_0108.JPG, DJI_0144.JPG, DJI_0110.JPG, DJI_0147.JPG, DJI_0146.JPG, DJI_0107.JPG, "
